group,Category,n_total,n_study,n_category,beta,k,se,zval,pval,ci.lb,ci.ub,tau2,se.tau2,sigma2,I2,H2,QE.LRT,QEp.LRT,QE.Wld,QEp.Wld,QE.df,phenotype,average_proportion,average_lci,average_uci
Overall,Type A1,56904,4,33276,-2.834053325115958,4,0.09732770506387596,-29.118669994899964,2.083416986900365e-186,-3.0248121217390915,-2.6432945284928246,0.027756641387582173,NA,NA,90.89229870540971,10.979718895633651,17.478178964621073,5.634419609021622e-4,15.30378598449881,0.0015746129539730674,3,SAID,0.05551149892528864,0.04631744812639805,0.06640350233141264
Overall,Type B,56904,4,8660,-3.0361837418567688,4,0.09524740654504207,-31.87681273422359,5.596988870213179e-223,-3.2228652283058956,-2.849502255407642,0.022978802554972706,NA,NA,65.88951989616757,2.931650322587065,12.930593525718365,0.004789130482915138,13.50204794756347,0.003667618602909954,3,SAID,0.045817722827071326,0.038314272702483325,0.05470705197014015
Overall,Type C,56904,6,14968,-2.346226557961149,6,0.25318326191965346,-9.266910222152495,1.916161958674679e-20,-2.842456632812041,-1.8499964831102569,0.3760735246452606,NA,NA,98.3264485207207,59.75316638784514,475.1048418103695,1.8838088752390898e-100,463.1285537610051,7.229256935497403e-98,5,SAID,0.08736617342560235,0.055072555846244924,0.13587330993275737
Duration = New,Type A1,56904,3,31756,-2.836751162174112,3,0.128157198140146,-22.134934309908907,1.4572519683451162e-108,-3.0879346548883615,-2.5855676694598624,0.04055783323686472,NA,NA,95.15671869091162,20.64715915062599,15.811207113132603,3.6867186784671734e-4,13.616634824593831,0.001104549839264973,2,SAID,0.05537022090305256,0.043607691215537675,0.07007305624777568
Duration = New,Type B,56904,2,5503,-3.1598459129685676,2,0.06821816424039952,-46.319714817205146,0,-3.293551057971189,-3.0261407679659462,0,NA,NA,0,1,0.26747579811805267,0.605030076323568,0.2713996989849547,0.6023943842303672,1,SAID,0.04070506996183934,0.035793089741880356,0.04625879434060022
Duration = New,Type C,56904,4,6900,-2.03755216493093,4,0.2326571237314902,-8.757746731548487,1.991921129562464e-18,-2.49355174819133,-1.5815525816705303,0.20842205501390296,NA,NA,97.03222317752854,33.695256072767314,123.83361078962568,1.1526513558606572e-26,134.4548962023419,5.928070807336784e-29,3,SAID,0.11531622118491762,0.07631146458879236,0.1705757109704362
Duration = Established,Type A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAID,NA,NA,NA
Duration = Established,Type B,56904,2,3157,-2.9134461191676753,2,0.13785945442652278,-21.133451683000114,3.918304492763312e-99,-3.1836456847720007,-2.64324655356335,0.020583411445911182,NA,NA,55.397643404693795,2.2420340007443382,4.850991837036883,0.027630239998960433,4.586937986529017,0.03221651982231082,1,SAID,0.05149286198163345,0.03978582426239259,0.06640647655476314
Duration = Established,Type C,56904,2,8068,-2.9684835447927185,2,0.27127290562130263,-10.942794076665827,7.194777784148356e-28,-3.5001686697920045,-2.4367984197934325,0.1374143088831201,NA,NA,93.64363554481378,15.73226341960443,27.97953494127716,1.226052576653325e-7,31.813187261076692,1.6973638420186563e-8,1,SAID,0.04887016246971323,0.02930743196672739,0.0804093309686792
R/E = NH White,Type A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAID,NA,NA,NA
